Date_Time,Minute,Status,Min_Class
2020-06-14-04:08:22,8,1,f1
2020-06-14-04:18:55,18,0,f2
2020-06-14-04:21:40,21,1,f3
2020-06-14-04:23:40,23,0,f3
2020-06-14-04:24:19,24,1,f3
2020-06-14-04:24:19,24,1,f3
2020-06-14-04:26:19,26,0,f3
2020-06-14-04:26:19,26,0,f3
2020-06-14-04:38:32,38,1,f4
2020-06-14-04:38:32,38,1,f4
2020-06-14-04:40:32,40,0,f5
2020-06-14-04:40:32,40,0,f5
2020-06-14-04:56:50,56,0,f6
2020-06-14-04:56:55,56,1,f6
2020-06-14-05:16:46,16,1,f2
2020-06-14-05:25:45,25,0,f3
2020-06-14-05:25:50,25,1,f3
2020-06-14-05:48:28,48,1,f5
2020-06-14-05:49:14,49,1,2020-06-14 05:49:14
2020-06-14-05:51:07,51,0,f6
2020-06-14-05:52:24,52,0,f6
2020-06-14-06:04:54,4,0,f1
2020-06-14-06:41:48,41,1,f5
2020-06-14-06:43:48,43,0,f5
2020-06-14-06:45:44,45,1,f5
2020-06-14-07:11:18,11,1,f2
2020-06-14-07:13:47,13,0,f2
2020-06-14-07:17:47,17,0,f2
2020-06-14-07:27:26,27,0,f3
2020-06-14-07:27:32,27,1,f3
2020-06-14-07:35:30,35,0,f4
2020-06-14-07:37:12,37,1,f4
2020-06-14-08:03:33,3,1,f1
2020-06-14-08:06:52,6,0,f1
2020-06-14-08:09:55,9,0,2020-06-14 08:09:55
2020-06-14-08:28:20,28,0,f3
2020-06-14-08:35:49,35,1,f4
2020-06-14-08:37:49,37,0,f4
2020-06-14-09:15:42,15,0,f2
2020-06-14-09:15:48,15,1,f2
2020-06-14-09:16:35,16,0,f2
2020-06-14-09:21:01,21,1,f3
2020-06-14-09:23:01,23,0,f3
