Date_Time,Minute,Status,Min_Class
49478,2020-07-01-12:41:06,41,1,f5
49479,2020-07-01-12:41:07,41,1,f5
49480,2020-07-01-12:41:07,41,1,f5
49481,2020-07-01-12:41:08,41,0,f5
49482,2020-07-01-12:41:08,41,1,f5
49483,2020-07-01-12:41:09,41,1,f5
49484,2020-07-01-12:41:09,41,0,f5
49485,2020-07-01-12:41:10,41,1,f5
49486,2020-07-01-12:41:10,41,0,f5
49487,2020-07-01-12:41:11,41,1,f5
49488,2020-07-01-12:41:11,41,0,f5
49489,2020-07-01-12:41:12,41,1,f5
49490,2020-07-01-12:41:13,41,1,f5
49491,2020-07-01-12:41:14,41,0,f5
49492,2020-07-01-12:41:15,41,1,f5
49493,2020-07-01-12:41:17,41,0,f5
49494,2020-07-01-12:41:18,41,0,f5
49495,2020-07-01-12:41:19,41,1,f5
49496,2020-07-01-12:41:19,41,1,f5
49497,2020-07-01-12:41:20,41,0,f5
49498,2020-07-01-12:41:21,41,0,f5
49499,2020-07-01-12:41:21,41,1,f5
49500,2020-07-01-12:41:23,41,1,f5
49501,2020-07-01-12:41:24,41,1,f5
49502,2020-07-01-12:41:24,41,1,f5
49503,2020-07-01-12:41:25,41,0,f5
49504,2020-07-01-12:41:28,41,1,f5
49505,2020-07-01-12:41:28,41,1,f5
49506,2020-07-01-12:41:29,41,1,f5
49507,2020-07-01-12:41:29,41,1,f5
49508,2020-07-01-12:41:31,41,1,f5
49509,2020-07-01-12:41:31,41,0,f5
49510,2020-07-01-12:41:32,41,1,f5
49511,2020-07-01-12:41:32,41,0,f5
49512,2020-07-01-12:41:33,41,0,f5
49513,2020-07-01-12:41:33,41,1,f5
49514,2020-07-01-12:41:34,41,0,f5
49515,2020-07-01-12:41:34,41,1,f5
49516,2020-07-01-12:41:35,41,0,f5
49517,2020-07-01-12:41:35,41,1,f5
49518,2020-07-01-12:41:36,41,1,f5
49519,2020-07-01-12:41:37,41,0,f5
49520,2020-07-01-12:41:38,41,0,f5
49521,2020-07-01-12:41:38,41,0,f5
49522,2020-07-01-12:41:39,41,0,f5
49523,2020-07-01-12:41:40,41,0,f5
49524,2020-07-01-12:41:44,41,0,f5
49525,2020-07-01-12:41:45,41,0,f5
49526,2020-07-01-12:41:46,41,0,f5
49527,2020-07-01-12:41:47,41,0,f5
49528,2020-07-01-12:41:47,41,1,f5
49529,2020-07-01-12:41:48,41,1,f5
49530,2020-07-01-12:41:48,41,1,f5
49531,2020-07-01-12:41:49,41,1,f5
49532,2020-07-01-12:41:49,41,1,f5
49533,2020-07-01-12:41:50,41,0,f5
49534,2020-07-01-12:41:50,41,1,f5
49535,2020-07-01-12:41:51,41,0,f5
49536,2020-07-01-12:41:55,41,1,f5
49537,2020-07-01-12:41:55,41,1,f5
49538,2020-07-01-12:41:56,41,0,f5
49539,2020-07-01-12:41:57,41,0,f5
49540,2020-07-01-12:41:58,41,0,f5
49541,2020-07-01-12:41:59,41,0,f5
49542,2020-07-01-12:41:59,41,1,f5
49543,2020-07-01-12:42:00,42,1,f5
49544,2020-07-01-12:42:00,42,1,f5
49545,2020-07-01-12:42:04,42,0,f5
49546,2020-07-01-12:42:04,42,1,f5
49547,2020-07-01-12:42:05,42,0,f5
49548,2020-07-01-12:42:05,42,1,f5
49549,2020-07-01-12:42:06,42,0,f5
49550,2020-07-01-12:42:10,42,0,f5
49551,2020-07-01-12:42:11,42,0,f5
49552,2020-07-01-12:42:13,42,0,f5
49553,2020-07-01-12:42:13,42,0,f5
49554,2020-07-01-12:42:15,42,0,f5
49555,2020-07-01-12:42:16,42,1,f5
49556,2020-07-01-12:42:16,42,1,f5
49557,2020-07-01-12:42:17,42,1,f5
49558,2020-07-01-12:42:17,42,1,f5
49559,2020-07-01-12:42:18,42,1,f5
49560,2020-07-01-12:42:19,42,1,f5
49561,2020-07-01-12:42:20,42,1,f5
49562,2020-07-01-12:42:20,42,0,f5
49563,2020-07-01-12:42:21,42,0,f5
49564,2020-07-01-12:42:24,42,0,f5
49565,2020-07-01-12:42:25,42,1,f5
49566,2020-07-01-12:42:25,42,1,f5
49567,2020-07-01-12:42:26,42,0,f5
49568,2020-07-01-12:42:27,42,1,f5
49569,2020-07-01-12:42:28,42,0,f5
49570,2020-07-01-12:42:28,42,1,f5
49571,2020-07-01-12:42:29,42,0,f5
49572,2020-07-01-12:42:29,42,1,f5
49573,2020-07-01-12:42:30,42,1,f5
49574,2020-07-01-12:42:30,42,1,f5
49575,2020-07-01-12:42:31,42,0,f5
49576,2020-07-01-12:42:31,42,0,f5
49577,2020-07-01-12:42:32,42,0,f5
49578,2020-07-01-12:42:32,42,0,f5
49579,2020-07-01-12:42:33,42,0,f5
49580,2020-07-01-12:42:33,42,1,f5
49581,2020-07-01-12:42:34,42,1,f5
49582,2020-07-01-12:42:34,42,1,f5
49583,2020-07-01-12:42:35,42,0,f5
49584,2020-07-01-12:42:35,42,0,f5
49585,2020-07-01-12:42:36,42,0,f5
49586,2020-07-01-12:42:36,42,1,f5
49587,2020-07-01-12:42:37,42,0,f5
49588,2020-07-01-12:42:37,42,1,f5
49589,2020-07-01-12:42:38,42,0,f5
49590,2020-07-01-12:42:38,42,1,f5
49591,2020-07-01-12:42:39,42,1,f5
49592,2020-07-01-12:42:39,42,1,f5
49593,2020-07-01-12:42:40,42,1,f5
49594,2020-07-01-12:42:40,42,1,f5
49595,2020-07-01-12:42:41,42,1,f5
49596,2020-07-01-12:42:41,42,1,f5
49597,2020-07-01-12:42:42,42,0,f5
49598,2020-07-01-12:42:43,42,0,f5
49599,2020-07-01-12:42:43,42,1,f5
49600,2020-07-01-12:42:44,42,0,f5
49601,2020-07-01-12:42:45,42,1,f5
49602,2020-07-01-12:42:47,42,0,f5
49603,2020-07-01-12:42:49,42,1,f5
49604,2020-07-01-12:42:50,42,1,f5
49605,2020-07-01-12:42:51,42,0,f5
49606,2020-07-01-12:42:53,42,0,f5
49607,2020-07-01-12:42:53,42,0,f5
49608,2020-07-01-12:42:54,42,0,f5
49609,2020-07-01-12:42:54,42,0,f5
49610,2020-07-01-12:42:54,42,0,f5
49611,2020-07-01-12:42:55,42,1,f5
49612,2020-07-01-12:42:55,42,0,f5
49613,2020-07-01-12:42:56,42,0,f5
49614,2020-07-01-12:42:56,42,1,f5
